application_no,contract_ref,subcontractor,site,site_zone,period_from,period_to,application_date,application_total,retention,net_payable,adjustment,retention_released
PA-00278,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z2 North Spur,2026-01-01,2026-01-06,2026-01-19,223832.56,11191.62,212640.94,0.00,0.00
PA-00279,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z4 Escarpment,2025-12-17,2025-12-29,2026-01-14,200958.41,10047.92,190910.49,0.00,0.00
PA-00280,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z2 North Spur,2026-05-19,2026-05-23,2026-05-27,116042.06,5802.10,110239.96,0.00,0.00
PA-00281,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z1 Compound,2026-06-01,2026-06-12,2026-06-14,168903.93,8445.19,160458.74,0.00,0.00
PA-00282,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z1 Compound,2026-05-20,2026-05-27,2026-06-17,142092.80,7104.64,134988.16,0.00,0.00
PA-00283,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z2 North Spur,2026-05-14,2026-06-02,2026-06-19,93655.97,4682.79,88973.18,0.00,0.00
PA-00284,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z3 Wadi Crossing,2026-05-14,2026-05-27,2026-06-04,319278.71,15963.93,303314.78,0.00,0.00
PA-00285,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z1 Compound,2026-02-05,2026-02-12,2026-02-27,56997.86,2849.89,54147.97,0.00,0.00
PA-00286,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z3 Wadi Crossing,2025-04-20,2025-04-26,2025-04-29,339715.01,16985.75,322729.26,0.00,0.00
PA-00287,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z4 Escarpment,2025-10-15,2025-10-21,2025-10-30,294797.64,14739.88,280057.76,0.00,0.00
PA-00288,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z1 Compound,2025-07-26,2025-08-04,2025-08-09,561203.62,28060.18,533143.44,0.00,0.00
PA-00289,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z1 Compound,2025-05-13,2025-05-19,2025-06-07,178996.92,8949.84,170047.08,0.00,0.00
PA-00290,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z4 Escarpment,2026-05-05,2026-05-10,2026-05-28,99902.59,4995.12,94907.47,0.00,0.00
PA-00291,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z4 Escarpment,2025-05-18,2025-06-02,2025-06-23,126599.91,6329.99,120269.92,0.00,0.00
PA-00292,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z1 Compound,2025-04-03,2025-04-12,2025-04-14,25660.80,1283.04,24377.76,0.00,0.00
PA-00293,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z2 North Spur,2025-03-07,2025-03-13,2025-03-18,123458.21,6172.91,117285.30,0.00,0.00
PA-00294,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z1 Compound,2026-02-25,2026-03-15,2026-03-28,113879.00,5693.95,108185.05,0.00,0.00
PA-00295,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z1 Compound,2025-01-07,2025-01-27,2025-02-16,67703.47,3385.17,64318.30,0.00,0.00
PA-00296,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z2 North Spur,2025-08-01,2025-08-07,2025-08-15,50447.27,2522.36,47924.91,0.00,0.00
PA-00297,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z3 Wadi Crossing,2025-11-26,2025-12-02,2025-12-16,208403.01,10420.15,197982.86,0.00,0.00
PA-00298,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z1 Compound,2026-08-13,2026-08-19,2026-08-21,486020.05,24301.00,461719.05,0.00,0.00
PA-00299,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z3 Wadi Crossing,2026-03-11,2026-03-24,2026-04-03,77342.31,3867.11,73475.20,0.00,0.00
PA-00300,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z4 Escarpment,2025-01-29,2025-02-16,2025-02-28,194847.73,9742.38,185105.35,0.00,0.00
PA-00301,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z1 Compound,2025-08-18,2025-08-22,2025-09-10,159545.30,7977.26,151568.04,0.00,0.00
PA-00302,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z2 North Spur,2025-12-12,2025-12-27,2026-01-02,20605.04,1030.25,19574.79,0.00,0.00
PA-00303,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z3 Wadi Crossing,2025-04-23,2025-05-06,2025-05-25,156358.65,7817.93,148540.72,0.00,0.00
PA-00304,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z4 Escarpment,2026-01-30,2026-02-07,2026-02-14,6776.65,338.83,6437.82,0.00,0.00
PA-00305,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z1 Compound,2025-04-11,2025-04-16,2025-05-07,42274.39,2113.71,40160.68,0.00,0.00
PA-00306,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z3 Wadi Crossing,2025-01-30,2025-02-17,2025-02-21,273446.15,13672.30,259773.85,0.00,0.00
PA-00307,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z4 Escarpment,2025-07-06,2025-07-13,2025-07-19,156196.75,7809.83,148386.92,0.00,0.00
PA-00308,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z1 Compound,2026-03-26,2026-04-04,2026-04-18,227947.29,11397.36,216549.93,0.00,0.00
PA-00309,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z1 Compound,2025-02-05,2025-02-12,2025-03-02,85925.20,4296.26,81628.94,0.00,0.00
PA-00310,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z1 Compound,2026-07-20,2026-07-26,2026-07-28,41544.51,2077.22,39467.29,0.00,0.00
PA-00311,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z2 North Spur,2025-02-10,2025-02-26,2025-03-17,42199.18,2109.95,40089.23,0.00,0.00
PA-00312,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z4 Escarpment,2025-03-24,2025-04-05,2025-04-20,287499.89,14374.99,273124.90,0.00,0.00
PA-00313,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z3 Wadi Crossing,2025-02-04,2025-02-10,2025-02-13,484441.66,24222.08,460219.58,0.00,0.00
PA-00314,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z1 Compound,2026-05-31,2026-06-15,2026-06-18,82927.95,4146.39,78781.56,0.00,0.00
PA-00315,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z4 Escarpment,2025-09-03,2025-09-23,2025-10-11,303910.91,15195.54,288715.37,0.00,0.00
PA-00316,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z2 North Spur,2026-08-04,2026-08-12,2026-08-21,178353.91,8917.69,169436.22,0.00,0.00
PA-00317,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z1 Compound,2025-05-01,2025-05-15,2025-05-20,38973.18,1948.65,37024.53,0.00,0.00
PA-00318,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z4 Escarpment,2026-01-07,2026-01-13,2026-01-19,576747.62,28837.38,547910.24,0.00,0.00
PA-00319,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z3 Wadi Crossing,2025-11-22,2025-11-29,2025-12-09,253541.63,12677.08,240864.55,0.00,0.00
PA-00320,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z2 North Spur,2025-02-14,2025-02-22,2025-03-05,54800.86,2740.04,52060.82,0.00,0.00
PA-00321,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z4 Escarpment,2026-04-14,2026-05-02,2026-05-05,251084.54,12554.22,238530.32,0.00,0.00
PA-00322,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z4 Escarpment,2025-01-28,2025-01-31,2025-02-17,98552.26,4927.61,93624.65,0.00,0.00
PA-00323,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z1 Compound,2026-05-27,2026-06-05,2026-06-17,161420.07,8071.00,153349.07,0.00,0.00
PA-00324,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z2 North Spur,2026-07-21,2026-07-31,2026-08-02,323261.81,16163.09,307098.72,0.00,0.00
PA-00325,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z1 Compound,2026-06-30,2026-07-14,2026-07-24,204371.40,10218.57,194152.83,0.00,0.00
PA-00326,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z2 North Spur,2026-03-18,2026-03-31,2026-04-20,90648.96,4532.44,86116.52,0.00,0.00
PA-00327,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z3 Wadi Crossing,2026-03-14,2026-03-22,2026-04-11,394339.68,19716.98,374622.70,0.00,0.00
PA-00328,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z1 Compound,2025-04-27,2025-05-16,2025-05-26,77521.24,3876.06,73645.18,0.00,0.00
PA-00329,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z3 Wadi Crossing,2025-05-06,2025-05-18,2025-05-28,293827.14,14691.35,279135.79,0.00,0.00
PA-00330,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z1 Compound,2025-09-27,2025-10-08,2025-10-25,192002.08,9600.10,182401.98,0.00,0.00
PA-00331,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z3 Wadi Crossing,2026-07-01,2026-07-14,2026-08-04,181828.57,9091.42,172737.15,0.00,0.00
PA-00332,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z2 North Spur,2025-04-17,2025-04-24,2025-04-29,160691.38,8034.56,152656.82,0.00,0.00
PA-00333,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z3 Wadi Crossing,2025-12-17,2026-01-02,2026-01-16,119856.86,5992.84,113864.02,0.00,0.00
PA-00334,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z1 Compound,2025-12-13,2025-12-20,2026-01-01,229220.44,11461.02,217759.42,0.00,0.00
PA-00335,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z2 North Spur,2026-01-02,2026-01-21,2026-02-05,133215.90,6660.79,126555.11,0.00,0.00
PA-00336,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z3 Wadi Crossing,2025-04-24,2025-04-29,2025-05-06,87727.10,4386.35,83340.75,0.00,0.00
PA-00337,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z1 Compound,2026-03-26,2026-04-02,2026-04-05,256364.86,12818.24,243546.62,0.00,0.00
PA-00338,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z4 Escarpment,2025-12-14,2025-12-28,2026-01-06,176387.87,8819.39,167568.48,0.00,0.00
PA-00339,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z2 North Spur,2025-02-24,2025-03-02,2025-03-21,54518.71,2725.93,51792.78,0.00,0.00
PA-00340,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z3 Wadi Crossing,2026-08-14,2026-08-22,2026-09-10,254556.49,12727.82,241828.67,0.00,0.00
PA-00341,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z3 Wadi Crossing,2026-04-07,2026-04-15,2026-04-29,60446.69,3022.33,57424.36,0.00,0.00
PA-00342,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z4 Escarpment,2025-01-21,2025-01-27,2025-02-08,223167.77,11158.38,212009.39,0.00,0.00
PA-00343,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z1 Compound,2026-01-18,2026-01-25,2026-02-09,122476.90,6123.84,116353.06,0.00,0.00
PA-00344,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z3 Wadi Crossing,2026-08-01,2026-08-18,2026-09-03,37071.67,1853.58,35218.09,0.00,0.00
PA-00345,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z1 Compound,2025-08-30,2025-09-11,2025-09-21,202750.85,10137.54,192613.31,0.00,0.00
PA-00346,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z1 Compound,2026-06-04,2026-06-15,2026-06-29,134517.30,6725.86,127791.44,0.00,0.00
PA-00347,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z4 Escarpment,2025-12-10,2025-12-20,2025-12-31,88502.12,4425.10,84077.02,0.00,0.00
PA-00348,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z4 Escarpment,2026-04-15,2026-05-04,2026-05-22,172812.58,8640.62,164171.96,0.00,0.00
PA-00349,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z3 Wadi Crossing,2026-03-25,2026-04-07,2026-04-21,354906.58,17745.32,337161.26,0.00,0.00
PA-00350,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z2 North Spur,2025-12-14,2025-12-20,2025-12-30,28983.13,1449.15,27533.98,0.00,0.00
PA-00351,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z3 Wadi Crossing,2025-08-21,2025-09-02,2025-09-07,497074.66,24853.73,472220.93,0.00,0.00
PA-00352,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z3 Wadi Crossing,2026-07-05,2026-07-12,2026-08-02,28935.06,1446.75,27488.31,0.00,0.00
PA-00353,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z4 Escarpment,2026-05-11,2026-05-30,2026-06-18,337514.93,16875.74,320639.19,0.00,0.00
PA-00354,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z4 Escarpment,2025-07-10,2025-07-25,2025-08-08,255235.36,12761.76,242473.60,0.00,0.00
PA-00355,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z3 Wadi Crossing,2025-07-28,2025-08-14,2025-08-27,238622.30,11931.11,226691.19,0.00,0.00
PA-00356,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z2 North Spur,2026-07-25,2026-08-05,2026-08-07,34640.12,1732.00,32908.12,0.00,0.00
PA-00357,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z3 Wadi Crossing,2025-04-24,2025-05-03,2025-05-11,183816.62,9190.83,174625.79,0.00,0.00
PA-00358,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z1 Compound,2025-04-09,2025-04-20,2025-04-24,151254.69,7562.73,143691.96,0.00,0.00
PA-00359,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z3 Wadi Crossing,2025-10-09,2025-10-19,2025-10-23,274772.88,13738.64,261034.24,0.00,0.00
PA-00360,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z2 North Spur,2026-04-09,2026-04-25,2026-05-15,79909.03,3995.45,75913.58,0.00,0.00
PA-00361,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z1 Compound,2025-06-05,2025-06-14,2025-06-19,124448.59,6222.42,118226.17,0.00,0.00
PA-00362,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z3 Wadi Crossing,2025-06-17,2025-06-27,2025-07-07,311685.81,15584.29,296101.52,0.00,0.00
PA-00363,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z2 North Spur,2025-03-10,2025-03-14,2025-03-20,150596.43,7529.82,143066.61,0.00,0.00
PA-00364,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z2 North Spur,2025-07-19,2025-07-27,2025-08-09,172054.69,8602.73,163451.96,0.00,0.00
PA-00365,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z3 Wadi Crossing,2026-01-13,2026-01-19,2026-02-04,258553.95,12927.69,245626.26,0.00,0.00
PA-00366,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z3 Wadi Crossing,2025-06-18,2025-07-04,2025-07-24,309712.00,15485.60,294226.40,0.00,0.00
PA-00367,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z1 Compound,2026-05-15,2026-05-30,2026-06-07,137427.01,6871.35,130555.66,0.00,0.00
PA-00368,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z1 Compound,2025-09-03,2025-09-13,2025-09-18,289415.58,14470.77,274944.81,0.00,0.00
PA-00369,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z4 Escarpment,2025-11-30,2025-12-04,2025-12-23,217108.54,10855.42,206253.12,0.00,0.00
PA-00370,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z3 Wadi Crossing,2025-02-01,2025-02-10,2025-03-01,28339.16,1416.95,26922.21,0.00,0.00
PA-00371,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z3 Wadi Crossing,2026-07-08,2026-07-12,2026-07-30,90175.46,4508.77,85666.69,0.00,0.00
PA-00372,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z3 Wadi Crossing,2025-05-16,2025-05-26,2025-06-09,420649.42,21032.47,399616.95,0.00,0.00
PA-00373,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z4 Escarpment,2026-08-02,2026-08-07,2026-08-24,72428.16,3621.40,68806.76,0.00,0.00
PA-00374,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z1 Compound,2026-05-08,2026-05-14,2026-05-19,173295.39,8664.76,164630.63,0.00,0.00
PA-00375,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z3 Wadi Crossing,2026-01-23,2026-10-26,2026-10-31,337523.03,16876.15,320646.88,0.00,0.00
PA-00376,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z2 North Spur,2025-10-05,2025-10-09,2025-10-24,192869.71,9643.48,183226.23,0.00,0.00
PA-00377,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z4 Escarpment,2025-01-19,2025-01-31,2025-02-17,81328.16,4066.40,77261.76,0.00,0.00
PA-00378,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z2 North Spur,2026-03-05,2026-03-10,2026-03-19,108228.14,5411.40,102816.74,0.00,0.00
PA-00379,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z4 Escarpment,2026-05-17,2026-05-27,2026-06-08,257293.90,12864.69,244429.21,0.00,0.00
PA-00380,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z3 Wadi Crossing,2026-04-15,2026-04-21,2026-05-12,130091.43,6504.57,123586.86,0.00,0.00
PA-00381,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z3 Wadi Crossing,2026-05-17,2026-06-05,2026-06-23,191200.04,9560.00,181640.04,0.00,0.00
PA-00382,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z3 Wadi Crossing,2025-04-18,2025-04-22,2025-05-01,243716.82,12185.84,231530.98,0.00,0.00
PA-00383,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z2 North Spur,2025-06-10,2025-06-16,2025-07-01,152446.96,7622.34,144824.62,0.00,0.00
PA-00384,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z1 Compound,2025-04-07,2025-04-18,2025-04-21,94993.48,4749.67,90243.81,0.00,0.00
PA-00385,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z2 North Spur,2025-02-20,2025-02-28,2025-03-18,156776.21,7838.81,148937.40,0.00,0.00
PA-00386,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z1 Compound,2026-04-28,2026-05-06,2026-05-18,30511.65,1525.58,28986.07,0.00,0.00
PA-00387,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z2 North Spur,2026-03-10,2026-03-27,2026-04-11,190540.90,9527.04,181013.86,0.00,0.00
PA-00388,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z3 Wadi Crossing,2025-03-22,2025-04-08,2025-04-17,439833.41,21991.67,417841.74,0.00,0.00
PA-00389,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z1 Compound,2026-03-18,2026-04-06,2026-04-27,60588.59,3029.42,57559.17,0.00,0.00
PA-00390,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z3 Wadi Crossing,2026-05-30,2026-06-03,2026-06-21,164528.99,8226.44,156302.55,0.00,0.00
PA-00391,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z3 Wadi Crossing,2025-12-26,2026-01-09,2026-01-29,306037.29,15301.86,290735.43,0.00,0.00
PA-00392,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z4 Escarpment,2025-03-10,2025-03-20,2025-03-27,275303.31,13765.16,261538.15,0.00,0.00
PA-00393,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z4 Escarpment,2026-03-09,2026-03-13,2026-03-29,88546.68,4427.33,84119.35,0.00,0.00
PA-00394,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z2 North Spur,2025-02-24,2025-03-01,2025-03-20,364056.87,18202.84,345854.03,0.00,0.00
PA-00395,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z4 Escarpment,2026-05-22,2026-06-04,2026-06-10,315013.02,15750.65,299262.37,0.00,0.00
PA-00396,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z2 North Spur,2025-01-19,2025-02-06,2025-02-12,190036.02,9501.80,180534.22,0.00,0.00
PA-00397,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z1 Compound,2025-12-05,2025-12-12,2025-12-29,139511.57,6975.57,132536.00,0.00,0.00
PA-00398,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z1 Compound,2025-02-01,2025-02-16,2025-02-20,159105.02,7955.25,151149.77,0.00,0.00
PA-00399,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z2 North Spur,2025-08-11,2025-08-19,2025-09-07,90496.53,4524.82,85971.71,0.00,0.00
PA-00400,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z4 Escarpment,2026-01-12,2026-01-19,2026-01-27,143072.73,7153.63,135919.10,0.00,0.00
PA-00401,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z3 Wadi Crossing,2025-09-29,2025-10-14,2025-10-28,91612.03,4580.60,87031.43,0.00,0.00
PA-00402,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z1 Compound,2025-09-05,2025-09-12,2025-09-26,116347.90,5817.39,110530.51,0.00,0.00
PA-00403,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z3 Wadi Crossing,2025-05-20,2025-05-28,2025-05-31,128525.59,6426.27,122099.32,0.00,0.00
PA-00404,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z3 Wadi Crossing,2025-10-25,2025-11-08,2025-11-14,361608.59,18080.42,343528.17,0.00,0.00
PA-00405,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z4 Escarpment,2026-06-03,2026-06-16,2026-06-22,128954.32,6447.71,122506.61,0.00,0.00
PA-00406,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z3 Wadi Crossing,2025-08-16,2025-08-20,2025-08-23,144671.39,7233.56,137437.83,0.00,0.00
PA-00407,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z2 North Spur,2025-11-27,2025-12-08,2025-12-17,103473.48,5173.67,98299.81,0.00,0.00
PA-00408,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z2 North Spur,2025-05-28,2025-06-15,2025-06-17,66068.17,3303.40,62764.77,0.00,0.00
PA-00409,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z1 Compound,2025-06-06,2025-06-17,2025-06-23,44083.64,2204.18,41879.46,0.00,0.00
PA-00410,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-03 Access Road,Z1 Compound,2025-06-02,2025-06-11,2025-06-23,60654.08,3032.70,57621.38,0.00,0.00
PA-00411,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z4 Escarpment,2026-05-06,2026-05-21,2026-06-08,58982.75,2949.13,56033.62,0.00,0.00
PA-00412,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-02 Platform South,Z3 Wadi Crossing,2025-03-21,2025-04-02,2025-04-21,230498.27,11524.91,218973.36,0.00,0.00
PA-00413,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-04 Drainage Corridor,Z3 Wadi Crossing,2025-03-29,2025-04-13,2025-04-15,175585.54,8779.27,166806.27,0.00,0.00
PA-00414,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-05 Compound Extension,Z3 Wadi Crossing,2026-03-16,2026-03-29,2026-04-03,225585.21,11279.26,214305.95,0.00,0.00
PA-00415,CW-2025-0417-CIV,Ridgeway Civil Engineering LLC,S-01 Platform North,Z1 Compound,2025-07-18,2025-07-25,2025-08-08,53765.56,2688.27,51077.29,0.00,0.00
