line_ref,application_no,line_no,work_date,site,item_code,description,unit,site_zone,ground_class,quantity,rate_applied,amount,night_work,record_ref
PA-00500-07,PA-00500,7,2026-01-06,S-01 Platform North,A.13.030,Double handling of stockpiled material,m3,Z3 Wadi Crossing,,90,11.22,1009.80,N,
PA-00500-08,PA-00500,8,2026-01-14,S-01 Platform North,B.21.050,"Mass concrete fill to voids, C20/25",m3,Z3 Wadi Crossing,,395,338.92,133873.40,N,
PA-00500-09,PA-00500,9,2026-01-06,S-01 Platform North,D.41.040,"Capping layer, 300 mm compacted",m2,Z3 Wadi Crossing,,184,37.33,6868.72,N,CT-00243
PA-00500-10,PA-00500,10,2026-01-05,S-01 Platform North,A.13.010,Disposal of excavated material off site,m3,Z3 Wadi Crossing,,50,21.64,1082.00,N,
PA-00500-11,PA-00500,11,2026-01-16,S-01 Platform North,A.14.010,"Imported granular fill, placed and compacted",m3,Z3 Wadi Crossing,,355,60.91,21623.05,N,CT-00254
PA-00501-01,PA-00501,1,2026-08-03,S-02 Platform South,B.23.010,"High-yield reinforcement bar, cut, bent and fixed",tonne,Z3 Wadi Crossing,,15,4406.37,66095.55,N,JS-00358
PA-00501-02,PA-00501,2,2026-07-27,S-02 Platform South,A.12.010,General excavation to reduce level,m3,Z3 Wadi Crossing,G1 Loose Sand,218,23.63,5151.34,N,
PA-00501-03,PA-00501,3,2026-07-30,S-02 Platform South,C.35.010,CCTV survey of completed drainage run,lm,Z3 Wadi Crossing,,45,10.76,484.20,N,CV-00117
PA-00501-04,PA-00501,4,2026-07-31,S-02 Platform South,D.41.010,"Sub-base, Type 1 granular, 250 mm compacted",m2,Z3 Wadi Crossing,,703,44.03,30953.09,N,CT-00369
PA-00501-05,PA-00501,5,2026-07-31,S-02 Platform South,D.41.020,"Dense bitumen macadam binder course, 60 mm",m2,Z3 Wadi Crossing,,442,240.18,106159.56,N,
PA-00501-06,PA-00501,6,2026-07-30,S-02 Platform South,E.52.010,"Joint survey and setting out, chainage band",no.,Z3 Wadi Crossing,,2,478.00,956.00,N,JS-00353
PA-00501-07,PA-00501,7,2026-08-06,S-02 Platform South,E.51.010,"Wet weather standby, plant and operator",hour,Z3 Wadi Crossing,,2,246.00,492.00,N,MO-00139
PA-00501-08,PA-00501,8,2026-07-29,S-02 Platform South,C.32.020,Gully pot and connection to carrier drain,no.,Z3 Wadi Crossing,,3,328.62,985.86,N,
PA-00501-09,PA-00501,9,2026-08-02,S-02 Platform South,A.15.010,"Earthwork support to trenches, depth to 2 m",m2,Z3 Wadi Crossing,G5 Sound Rock,736,36.41,26797.76,N,
PA-00501-10,PA-00501,10,2026-08-04,S-02 Platform South,D.44.010,"Road stud, reflective, bedded in resin",no.,Z3 Wadi Crossing,,3,36.41,109.23,N,
PA-00501-11,PA-00501,11,2026-08-05,S-02 Platform South,B.21.030,"Reinforced concrete to slabs, C32/40",m3,Z3 Wadi Crossing,,335,445.41,149212.35,N,PR-00354
PA-00502-01,PA-00502,1,2025-08-09,S-05 Compound Extension,D.42.010,"Precast concrete kerb, bedded and haunched",lm,Z1 Compound,,231,71.20,16447.20,N,
PA-00502-02,PA-00502,2,2025-08-09,S-05 Compound Extension,C.32.040,"Manhole cover and frame, Class D400, bedded",no.,Z1 Compound,,2,1586.25,3172.50,N,
PA-00502-03,PA-00502,3,2025-07-31,S-05 Compound Extension,D.41.040,"Capping layer, 300 mm compacted",m2,Z1 Compound,,502,29.99,15054.98,N,CT-00131
PA-00502-04,PA-00502,4,2025-08-07,S-05 Compound Extension,A.11.020,"Removal of existing hardstanding, broken out",m2,Z1 Compound,G2 Firm Sabkha,169,12.40,2095.60,N,
PA-00502-05,PA-00502,5,2025-08-11,S-05 Compound Extension,B.27.010,"Movement joint, 20 mm, sealed both faces",lm,Z1 Compound,,161,89.50,14409.50,N,
PA-00502-06,PA-00502,6,2025-08-09,S-05 Compound Extension,B.23.020,"Mesh reinforcement, A393, laid and lapped",m2,Z1 Compound,,636,144.00,91584.00,N,JS-00119
PA-00502-07,PA-00502,7,2025-07-31,S-05 Compound Extension,E.51.010,"Wet weather standby, plant and operator",hour,Z1 Compound,,3,246.00,738.00,N,MO-00044
PA-00502-08,PA-00502,8,2025-08-10,S-05 Compound Extension,B.25.010,Cast-in sockets and holding-down bolt assemblies,no.,Z1 Compound,,5,821.25,4106.25,N,
PA-00502-09,PA-00502,9,2025-08-05,S-05 Compound Extension,B.21.030,"Reinforced concrete to slabs, C32/40",m3,Z1 Compound,,271,389.00,105419.00,N,PR-00136
PA-00502-10,PA-00502,10,2025-08-08,S-05 Compound Extension,B.27.010,"Movement joint, 20 mm, sealed both faces",lm,Z1 Compound,,191,89.50,17094.50,N,
PA-00502-11,PA-00502,11,2025-08-04,S-05 Compound Extension,D.43.010,"Road marking, thermoplastic, 100 mm line",lm,Z1 Compound,,356,14.80,5268.80,N,
PA-00502-12,PA-00502,12,2025-08-09,S-05 Compound Extension,B.21.020,"Reinforced concrete to foundations, C32/40",m3,Z1 Compound,,140,582.53,81554.20,N,PR-00143
PA-00502-13,PA-00502,13,2025-08-07,S-05 Compound Extension,A.16.010,"Dewatering by wellpoint, per week in operation",week,Z1 Compound,,1,1524.00,1524.00,N,DW-00037
PA-00502-14,PA-00502,14,2025-08-11,S-05 Compound Extension,C.32.010,"Precast manhole, 1200 mm diameter, depth to 3 m",no.,Z1 Compound,G5 Sound Rock,1,3031.80,3031.80,N,
PA-00503-01,PA-00503,1,2026-08-10,S-02 Platform South,C.31.040,"Concrete surround to pipe, Class A bedding",lm,Z4 Escarpment,,124,93.57,11602.68,N,
PA-00503-02,PA-00503,2,2026-08-03,S-02 Platform South,D.41.030,"Stone mastic asphalt surface course, 40 mm",m2,Z4 Escarpment,,641,130.23,83477.43,Y,
PA-00503-03,PA-00503,3,2026-08-16,S-02 Platform South,C.31.010,"uPVC drainage pipe, 225 mm, laid and jointed",lm,Z4 Escarpment,G4 Weathered Rock,223,172.66,38503.18,N,
PA-00503-04,PA-00503,4,2026-08-11,S-02 Platform South,E.53.010,Attendance on statutory undertaker,day,Z4 Escarpment,,1,389.00,389.00,N,
PA-00503-05,PA-00503,5,2026-08-04,S-02 Platform South,D.42.010,"Precast concrete kerb, bedded and haunched",lm,Z4 Escarpment,,110,91.14,10025.40,N,
PA-00504-01,PA-00504,1,2025-06-05,S-01 Platform North,A.12.050,Excavation for manholes and chambers,m3,Z3 Wadi Crossing,G1 Loose Sand,98,56.40,5527.20,N,
PA-00504-02,PA-00504,2,2025-06-09,S-01 Platform North,B.24.010,"Waterstop to construction joints, 230 mm",lm,Z3 Wadi Crossing,,345,77.17,26623.65,N,
PA-00504-03,PA-00504,3,2025-05-29,S-01 Platform North,D.44.010,"Road stud, reflective, bedded in resin",no.,Z3 Wadi Crossing,,8,36.41,291.28,N,
PA-00504-04,PA-00504,4,2025-06-04,S-01 Platform North,E.51.020,"Traffic management, two-way signals, per day",day,Z3 Wadi Crossing,,1,684.00,684.00,N,
PA-00504-05,PA-00504,5,2025-05-30,S-01 Platform North,D.41.030,"Stone mastic asphalt surface course, 40 mm",m2,Z3 Wadi Crossing,,457,141.78,64793.46,N,
PA-00504-06,PA-00504,6,2025-06-01,S-01 Platform North,B.21.050,"Mass concrete fill to voids, C20/25",m3,Z3 Wadi Crossing,,341,338.92,115571.72,N,
PA-00504-07,PA-00504,7,2025-06-03,S-01 Platform North,D.42.020,"Precast concrete channel, bedded and haunched",lm,Z3 Wadi Crossing,,354,74.20,26266.80,N,
PA-00504-08,PA-00504,8,2025-06-07,S-01 Platform North,B.21.020,"Reinforced concrete to foundations, C32/40",m3,Z3 Wadi Crossing,,137,666.99,91377.63,N,PR-00094
PA-00504-09,PA-00504,9,2025-06-03,S-01 Platform North,E.52.010,"Joint survey and setting out, chainage band",no.,Z3 Wadi Crossing,,4,478.00,1912.00,N,JS-00086
PA-00504-10,PA-00504,10,2025-05-30,S-01 Platform North,A.11.010,"Site clearance, vegetation and topsoil strip",m2,Z3 Wadi Crossing,,159,4.41,701.19,N,
PA-00505-01,PA-00505,1,2026-06-06,S-04 Drainage Corridor,A.12.060,Trimming of formation to level and gradient,m2,Z4 Escarpment,,864,8.83,7629.12,N,
PA-00505-02,PA-00505,2,2026-06-03,S-04 Drainage Corridor,A.11.020,"Removal of existing hardstanding, broken out",m2,Z4 Escarpment,G2 Firm Sabkha,68,15.87,1079.16,N,
PA-00505-03,PA-00505,3,2026-06-16,S-04 Drainage Corridor,B.25.010,Cast-in sockets and holding-down bolt assemblies,no.,Z4 Escarpment,,5,1054.28,5271.40,N,
PA-00505-04,PA-00505,4,2026-05-30,S-04 Drainage Corridor,D.44.010,"Road stud, reflective, bedded in resin",no.,Z4 Escarpment,,3,40.70,122.10,N,
PA-00505-05,PA-00505,5,2026-06-05,S-04 Drainage Corridor,A.13.030,Double handling of stockpiled material,m3,Z4 Escarpment,,295,12.54,3699.30,N,
PA-00505-06,PA-00505,6,2026-06-04,S-04 Drainage Corridor,C.31.010,"uPVC drainage pipe, 225 mm, laid and jointed",lm,Z4 Escarpment,G1 Loose Sand,63,124.79,7861.77,N,
PA-00506-01,PA-00506,1,2026-06-22,S-04 Drainage Corridor,B.27.010,"Movement joint, 20 mm, sealed both faces",lm,Z3 Wadi Crossing,,331,102.48,33920.88,N,
PA-00506-02,PA-00506,2,2026-06-23,S-04 Drainage Corridor,C.35.010,CCTV survey of completed drainage run,lm,Z3 Wadi Crossing,,52,10.76,559.52,N,CV-00111
PA-00506-03,PA-00506,3,2026-06-21,S-04 Drainage Corridor,A.12.040,"Excavation in trench, depth exceeding 4 m",m3,Z3 Wadi Crossing,G1 Loose Sand,252,79.23,19965.96,N,DX-00245
PA-00506-04,PA-00506,4,2026-06-18,S-04 Drainage Corridor,A.12.040,"Excavation in trench, depth exceeding 4 m",m3,Z3 Wadi Crossing,G3 Cemented Fill,407,79.23,32246.61,N,DX-00242
PA-00506-05,PA-00506,5,2026-06-18,S-04 Drainage Corridor,B.22.020,"Formwork to soffits, propped, height to 3.5 m",m2,Z3 Wadi Crossing,,477,105.11,50137.47,N,
PA-00506-06,PA-00506,6,2026-06-24,S-04 Drainage Corridor,D.41.040,"Capping layer, 300 mm compacted",m2,Z3 Wadi Crossing,,884,37.33,30446.16,N,CT-00350
PA-00507-01,PA-00507,1,2025-02-21,S-03 Access Road,C.31.010,"uPVC drainage pipe, 225 mm, laid and jointed",lm,Z1 Compound,G4 Weathered Rock,169,118.99,20109.31,N,
PA-00507-02,PA-00507,2,2025-02-07,S-03 Access Road,D.43.020,"Road marking, thermoplastic, hatched area",m2,Z1 Compound,,895,42.60,38127.00,N,
PA-00507-03,PA-00507,3,2025-02-10,S-03 Access Road,E.51.010,"Wet weather standby, plant and operator",hour,Z1 Compound,,4,246.00,984.00,N,MO-00012
PA-00507-04,PA-00507,4,2025-02-12,S-03 Access Road,D.41.030,"Stone mastic asphalt surface course, 40 mm",m2,Z1 Compound,,828,89.76,74321.28,N,
PA-00507-05,PA-00507,5,2025-02-16,S-03 Access Road,B.22.010,"Formwork to vertical faces, basic finish",m2,Z1 Compound,,382,71.52,27320.64,N,
PA-00507-06,PA-00507,6,2025-02-19,S-03 Access Road,B.22.020,"Formwork to soffits, propped, height to 3.5 m",m2,Z1 Compound,,474,91.80,43513.20,N,
PA-00507-07,PA-00507,7,2025-02-12,S-03 Access Road,A.12.040,"Excavation in trench, depth exceeding 4 m",m3,Z1 Compound,G3 Cemented Fill,226,77.50,17515.00,N,DX-00019
PA-00507-08,PA-00507,8,2025-02-10,S-03 Access Road,A.15.020,"Earthwork support to trenches, depth exceeding 2 m",m2,Z1 Compound,G2 Firm Sabkha,634,49.50,31383.00,N,
PA-00507-09,PA-00507,9,2025-02-13,S-03 Access Road,A.11.010,"Site clearance, vegetation and topsoil strip",m2,Z1 Compound,,462,3.85,1778.70,N,
PA-00507-10,PA-00507,10,2025-02-18,S-03 Access Road,C.31.020,"Ductile iron pipe, 400 mm, laid and jointed",lm,Z1 Compound,G3 Cemented Fill,98,239.68,23488.64,N,PT-00015
PA-00507-11,PA-00507,11,2025-02-14,S-03 Access Road,D.41.030,"Stone mastic asphalt surface course, 40 mm",m2,Z1 Compound,,468,121.18,56712.24,N,
PA-00507-12,PA-00507,12,2025-02-21,S-03 Access Road,A.16.010,"Dewatering by wellpoint, per week in operation",week,Z1 Compound,,1,1480.00,1480.00,N,DW-00006
PA-00508-01,PA-00508,1,2026-05-17,S-03 Access Road,B.21.020,"Reinforced concrete to foundations, C32/40",m3,Z4 Escarpment,,85,552.32,46947.20,Y,PR-00317
PA-00508-02,PA-00508,2,2026-05-15,S-03 Access Road,A.12.040,"Excavation in trench, depth exceeding 4 m",m3,Z4 Escarpment,G4 Weathered Rock,318,88.58,28168.44,N,DX-00220
PA-00508-03,PA-00508,3,2026-05-17,S-03 Access Road,A.14.030,"Geotextile separation membrane, laid and lapped",m2,Z4 Escarpment,,241,18.69,4504.29,N,
PA-00508-04,PA-00508,4,2026-05-25,S-03 Access Road,A.16.010,"Dewatering by wellpoint, per week in operation",week,Z4 Escarpment,,1,1950.72,1950.72,N,DW-00096
PA-00508-05,PA-00508,5,2026-05-24,S-03 Access Road,A.15.010,"Earthwork support to trenches, depth to 2 m",m2,Z4 Escarpment,G4 Weathered Rock,367,40.70,14936.90,N,
PA-00508-06,PA-00508,6,2026-05-19,S-03 Access Road,A.14.030,"Geotextile separation membrane, laid and lapped",m2,Z4 Escarpment,,361,18.69,6747.09,N,
PA-00508-07,PA-00508,7,2026-05-22,S-03 Access Road,A.13.020,"Retention of excavated material on site, stockpiled",m3,Z4 Escarpment,,382,8.19,3128.58,N,
PA-00509-01,PA-00509,1,2025-03-18,S-05 Compound Extension,A.12.020,"Excavation in trench, depth not exceeding 2 m",m3,Z4 Escarpment,G1 Loose Sand,132,40.62,5361.84,N,
PA-00509-02,PA-00509,2,2025-03-08,S-05 Compound Extension,A.12.050,Excavation for manholes and chambers,m3,Z4 Escarpment,G4 Weathered Rock,341,109.33,37281.53,N,
PA-00509-03,PA-00509,3,2025-03-04,S-05 Compound Extension,A.15.010,"Earthwork support to trenches, depth to 2 m",m2,Z4 Escarpment,G2 Firm Sabkha,891,40.70,36263.70,N,
PA-00509-04,PA-00509,4,2025-03-04,S-05 Compound Extension,A.13.010,Disposal of excavated material off site,m3,Z4 Escarpment,,365,24.19,8829.35,N,
PA-00509-05,PA-00509,5,2025-03-08,S-05 Compound Extension,D.42.030,"Edging to footway, flat top, bedded",lm,Z4 Escarpment,,93,50.43,4689.99,N,
PA-00510-01,PA-00510,1,2026-02-05,S-04 Drainage Corridor,A.12.060,Trimming of formation to level and gradient,m2,Z2 North Spur,,248,7.31,1812.88,N,
PA-00510-02,PA-00510,2,2026-02-14,S-04 Drainage Corridor,D.43.010,"Road marking, thermoplastic, 100 mm line",lm,Z2 North Spur,,341,15.69,5350.29,N,
PA-00510-03,PA-00510,3,2026-02-09,S-04 Drainage Corridor,D.44.010,"Road stud, reflective, bedded in resin",no.,Z2 North Spur,,6,33.71,202.26,N,
PA-00510-04,PA-00510,4,2026-02-10,S-04 Drainage Corridor,A.12.040,"Excavation in trench, depth exceeding 4 m",m3,Z2 North Spur,G1 Loose Sand,247,73.35,18117.45,N,DX-00188
PA-00510-05,PA-00510,5,2026-02-07,S-04 Drainage Corridor,A.14.020,Backfilling to trenches with selected arisings,m3,Z2 North Spur,G5 Sound Rock,34,23.74,807.16,N,
PA-00510-06,PA-00510,6,2026-02-12,S-04 Drainage Corridor,B.27.010,"Movement joint, 20 mm, sealed both faces",lm,Z2 North Spur,,235,94.87,22294.45,N,
PA-00510-07,PA-00510,7,2026-02-04,S-04 Drainage Corridor,C.31.010,"uPVC drainage pipe, 225 mm, laid and jointed",lm,Z2 North Spur,G4 Weathered Rock,293,100.69,29502.17,N,
PA-00510-08,PA-00510,8,2026-02-05,S-04 Drainage Corridor,A.11.020,"Removal of existing hardstanding, broken out",m2,Z2 North Spur,G3 Cemented Fill,375,13.14,4927.50,N,
PA-00510-09,PA-00510,9,2026-02-04,S-04 Drainage Corridor,B.23.020,"Mesh reinforcement, A393, laid and lapped",m2,Z2 North Spur,,553,152.97,84592.41,N,JS-00249
PA-00510-10,PA-00510,10,2026-02-15,S-04 Drainage Corridor,B.21.040,"Reinforced concrete to walls, C32/40",m3,Z2 North Spur,,172,474.88,81679.36,N,PR-00268
PA-00511-01,PA-00511,1,2025-08-20,S-02 Platform South,A.12.040,"Excavation in trench, depth exceeding 4 m",m3,Z3 Wadi Crossing,G1 Loose Sand,139,74.48,10352.72,N,DX-00103
PA-00511-02,PA-00511,2,2025-08-20,S-02 Platform South,B.23.020,"Mesh reinforcement, A393, laid and lapped",m2,Z3 Wadi Crossing,,370,164.88,61005.60,N,JS-00126
PA-00511-03,PA-00511,3,2025-08-15,S-02 Platform South,D.41.040,"Capping layer, 300 mm compacted",m2,Z3 Wadi Crossing,,674,34.34,23145.16,N,CT-00143
PA-00511-04,PA-00511,4,2025-08-21,S-02 Platform South,A.14.020,Backfilling to trenches with selected arisings,m3,Z3 Wadi Crossing,G5 Sound Rock,386,41.81,16138.66,N,
PA-00511-05,PA-00511,5,2025-08-14,S-02 Platform South,B.27.010,"Movement joint, 20 mm, sealed both faces",lm,Z3 Wadi Crossing,,233,102.48,23877.84,N,
PA-00511-06,PA-00511,6,2025-08-21,S-02 Platform South,A.11.030,"Grubbing up tree roots, girth exceeding 600 mm",no.,Z3 Wadi Crossing,,2,169.46,338.92,N,
PA-00511-07,PA-00511,7,2025-08-21,S-02 Platform South,A.12.010,General excavation to reduce level,m3,Z3 Wadi Crossing,G5 Sound Rock,24,38.52,924.48,N,
PA-00511-08,PA-00511,8,2025-08-20,S-02 Platform South,C.32.040,"Manhole cover and frame, Class D400, bedded",no.,Z3 Wadi Crossing,,8,1816.26,14530.08,N,
PA-00511-09,PA-00511,9,2025-08-19,S-02 Platform South,C.31.030,"uPVC drainage pipe, 150 mm, laid and jointed",lm,Z3 Wadi Crossing,G2 Firm Sabkha,373,62.75,23405.75,N,
PA-00511-10,PA-00511,10,2025-08-15,S-02 Platform South,C.33.010,"Ducting, 4-way 110 mm, bedded in sand",lm,Z3 Wadi Crossing,G5 Sound Rock,235,110.30,25920.50,N,
PA-00512-01,PA-00512,1,2025-02-19,S-02 Platform South,C.32.020,Gully pot and connection to carrier drain,no.,Z4 Escarpment,,1,367.36,367.36,N,
PA-00512-02,PA-00512,2,2025-02-25,S-02 Platform South,A.15.010,"Earthwork support to trenches, depth to 2 m",m2,Z4 Escarpment,G1 Loose Sand,231,38.26,8838.06,N,
PA-00512-03,PA-00512,3,2025-02-19,S-02 Platform South,E.51.030,"Standing time, tracked excavator and operator",hour,Z4 Escarpment,,3,312.00,936.00,N,PS-00006
PA-00512-04,PA-00512,4,2025-03-02,S-02 Platform South,B.21.040,"Reinforced concrete to walls, C32/40",m3,Z4 Escarpment,,225,573.44,129024.00,N,PR-00025
PA-00513-01,PA-00513,1,2025-11-20,S-04 Drainage Corridor,C.35.010,CCTV survey of completed drainage run,lm,Z3 Wadi Crossing,,260,10.76,2797.60,N,CV-00064
PA-00513-02,PA-00513,2,2025-11-27,S-04 Drainage Corridor,A.14.030,"Geotextile separation membrane, laid and lapped",m2,Z3 Wadi Crossing,,375,16.72,6270.00,N,
PA-00513-03,PA-00513,3,2025-11-18,S-04 Drainage Corridor,C.31.020,"Ductile iron pipe, 400 mm, laid and jointed",lm,Z3 Wadi Crossing,G2 Firm Sabkha,199,245.03,48760.97,N,PT-00158
PA-00514-01,PA-00514,1,2025-08-06,S-02 Platform South,C.31.040,"Concrete surround to pipe, Class A bedding",lm,Z1 Compound,,191,73.10,13962.10,N,
PA-00514-02,PA-00514,2,2025-08-06,S-02 Platform South,A.11.020,"Removal of existing hardstanding, broken out",m2,Z1 Compound,G1 Loose Sand,144,11.66,1679.04,N,
PA-00514-03,PA-00514,3,2025-08-11,S-02 Platform South,A.13.030,Double handling of stockpiled material,m3,Z1 Compound,,253,9.80,2479.40,N,
PA-00514-04,PA-00514,4,2025-08-07,S-02 Platform South,B.21.040,"Reinforced concrete to walls, C32/40",m3,Z1 Compound,,111,448.00,49728.00,N,PR-00140
PA-00514-05,PA-00514,5,2025-08-12,S-02 Platform South,A.15.010,"Earthwork support to trenches, depth to 2 m",m2,Z1 Compound,G1 Loose Sand,81,29.89,2421.09,N,
PA-00514-06,PA-00514,6,2025-08-08,S-02 Platform South,D.43.010,"Road marking, thermoplastic, 100 mm line",lm,Z1 Compound,,223,14.80,3300.40,N,
PA-00514-07,PA-00514,7,2025-08-07,S-02 Platform South,C.34.010,"Headwall to outfall, precast, bedded",no.,Z1 Compound,,5,965.00,4825.00,N,
PA-00514-08,PA-00514,8,2025-08-09,S-02 Platform South,A.13.020,"Retention of excavated material on site, stockpiled",m3,Z1 Compound,,125,6.40,800.00,N,
PA-00514-09,PA-00514,9,2025-08-05,S-02 Platform South,B.22.020,"Formwork to soffits, propped, height to 3.5 m",m2,Z1 Compound,,61,91.80,5599.80,N,
PA-00515-01,PA-00515,1,2026-01-01,S-04 Drainage Corridor,D.43.020,"Road marking, thermoplastic, hatched area",m2,Z1 Compound,,601,42.60,25602.60,N,
PA-00515-02,PA-00515,2,2026-01-07,S-04 Drainage Corridor,A.12.040,"Excavation in trench, depth exceeding 4 m",m3,Z1 Compound,G4 Weathered Rock,80,81.66,6532.80,Y,DX-00172
PA-00515-03,PA-00515,3,2026-01-10,S-04 Drainage Corridor,C.33.010,"Ducting, 4-way 110 mm, bedded in sand",lm,Z1 Compound,G5 Sound Rock,380,59.10,22458.00,N,
PA-00515-04,PA-00515,4,2025-12-31,S-04 Drainage Corridor,C.33.010,"Ducting, 4-way 110 mm, bedded in sand",lm,Z1 Compound,G3 Cemented Fill,49,59.10,2895.90,N,
PA-00515-05,PA-00515,5,2026-01-12,S-04 Drainage Corridor,A.12.050,Excavation for manholes and chambers,m3,Z1 Compound,G1 Loose Sand,200,52.40,10480.00,N,
PA-00515-06,PA-00515,6,2026-01-05,S-04 Drainage Corridor,E.51.030,"Standing time, tracked excavator and operator",hour,Z1 Compound,,8,312.00,2496.00,N,PS-00083
PA-00515-07,PA-00515,7,2026-01-03,S-04 Drainage Corridor,E.53.010,Attendance on statutory undertaker,day,Z1 Compound,,1,389.00,389.00,N,
PA-00516-01,PA-00516,1,2025-11-27,S-02 Platform South,A.14.030,"Geotextile separation membrane, laid and lapped",m2,Z1 Compound,,346,14.60,5051.60,N,
PA-00516-02,PA-00516,2,2025-11-26,S-02 Platform South,A.14.020,Backfilling to trenches with selected arisings,m3,Z1 Compound,G1 Loose Sand,28,22.40,627.20,N,
PA-00516-03,PA-00516,3,2025-11-28,S-02 Platform South,A.12.040,"Excavation in trench, depth exceeding 4 m",m3,Z1 Compound,G1 Loose Sand,376,69.20,26019.20,N,DX-00156
PA-00516-04,PA-00516,4,2025-11-30,S-02 Platform South,C.31.030,"uPVC drainage pipe, 150 mm, laid and jointed",lm,Z1 Compound,G2 Firm Sabkha,202,54.80,11069.60,N,
PA-00516-05,PA-00516,5,2025-11-27,S-02 Platform South,D.43.020,"Road marking, thermoplastic, hatched area",m2,Z1 Compound,,285,42.60,12141.00,N,
PA-00516-06,PA-00516,6,2025-11-19,S-02 Platform South,D.43.010,"Road marking, thermoplastic, 100 mm line",lm,Z1 Compound,,128,18.50,2368.00,Y,
PA-00516-07,PA-00516,7,2025-11-29,S-02 Platform South,D.42.010,"Precast concrete kerb, bedded and haunched",lm,Z1 Compound,,198,71.20,14097.60,N,
PA-00516-08,PA-00516,8,2025-11-23,S-02 Platform South,B.24.010,"Waterstop to construction joints, 230 mm",lm,Z1 Compound,,289,67.40,19478.60,N,
PA-00516-09,PA-00516,9,2025-11-18,S-02 Platform South,E.53.010,Attendance on statutory undertaker,day,Z1 Compound,,1,389.00,389.00,N,
PA-00516-10,PA-00516,10,2025-11-27,S-02 Platform South,A.14.010,"Imported granular fill, placed and compacted",m3,Z1 Compound,,212,48.41,10262.92,N,CT-00208
PA-00516-11,PA-00516,11,2025-11-26,S-02 Platform South,C.32.020,Gully pot and connection to carrier drain,no.,Z1 Compound,,2,287.00,574.00,N,
PA-00516-12,PA-00516,12,2025-11-25,S-02 Platform South,A.11.020,"Removal of existing hardstanding, broken out",m2,Z1 Compound,G4 Weathered Rock,602,12.40,7464.80,N,
PA-00517-01,PA-00517,1,2026-02-01,S-04 Drainage Corridor,B.23.010,"High-yield reinforcement bar, cut, bent and fixed",tonne,Z3 Wadi Crossing,,6,4840.49,28752.50,N,JS-00246
PA-00517-02,PA-00517,2,2026-02-05,S-04 Drainage Corridor,B.22.010,"Formwork to vertical faces, basic finish",m2,Z3 Wadi Crossing,,839,81.89,68705.71,N,
PA-00517-03,PA-00517,3,2026-01-26,S-04 Drainage Corridor,B.21.040,"Reinforced concrete to walls, C32/40",m3,Z3 Wadi Crossing,,405,512.96,207748.80,N,PR-00251
PA-00517-04,PA-00517,4,2026-02-03,S-04 Drainage Corridor,E.53.010,Attendance on statutory undertaker,day,Z3 Wadi Crossing,,1,389.00,389.00,N,
PA-00517-05,PA-00517,5,2026-01-27,S-04 Drainage Corridor,B.21.030,"Reinforced concrete to slabs, C32/40",m3,Z3 Wadi Crossing,,119,445.41,53003.79,N,PR-00253
PA-00517-06,PA-00517,6,2026-01-29,S-04 Drainage Corridor,E.51.010,"Wet weather standby, plant and operator",hour,Z3 Wadi Crossing,,10,246.00,2460.00,N,MO-00085
PA-00517-07,PA-00517,7,2026-02-06,S-04 Drainage Corridor,D.42.020,"Precast concrete channel, bedded and haunched",lm,Z3 Wadi Crossing,,192,74.20,14246.40,N,
PA-00517-08,PA-00517,8,2026-02-07,S-04 Drainage Corridor,B.25.010,Cast-in sockets and holding-down bolt assemblies,no.,Z3 Wadi Crossing,,1,942.34,942.34,N,
PA-00517-09,PA-00517,9,2026-01-27,S-04 Drainage Corridor,A.11.010,"Site clearance, vegetation and topsoil strip",m2,Z3 Wadi Crossing,,836,4.41,3686.76,N,
PA-00517-10,PA-00517,10,2026-02-05,S-04 Drainage Corridor,E.53.010,Attendance on statutory undertaker,day,Z3 Wadi Crossing,,1,389.00,389.00,N,
PA-00517-11,PA-00517,11,2026-01-31,S-04 Drainage Corridor,C.31.040,"Concrete surround to pipe, Class A bedding",lm,Z3 Wadi Crossing,,243,83.70,20339.10,N,
PA-00518-01,PA-00518,1,2025-03-12,S-03 Access Road,D.41.050,Bitumen tack coat between courses,m2,Z1 Compound,,405,6.20,2511.00,N,
PA-00518-02,PA-00518,2,2025-03-01,S-03 Access Road,C.31.020,"Ductile iron pipe, 400 mm, laid and jointed",lm,Z1 Compound,G3 Cemented Fill,50,239.68,11984.00,N,PT-00018
PA-00518-03,PA-00518,3,2025-03-07,S-03 Access Road,E.51.030,"Standing time, tracked excavator and operator",hour,Z1 Compound,,5,312.00,1560.00,N,PS-00010
PA-00518-04,PA-00518,4,2025-02-25,S-03 Access Road,D.43.020,"Road marking, thermoplastic, hatched area",m2,Z1 Compound,,69,42.60,2939.40,N,
PA-00519-01,PA-00519,1,2025-03-04,S-04 Drainage Corridor,B.27.010,"Movement joint, 20 mm, sealed both faces",lm,Z2 North Spur,,354,94.87,33583.98,N,
PA-00519-02,PA-00519,2,2025-02-19,S-04 Drainage Corridor,C.31.030,"uPVC drainage pipe, 150 mm, laid and jointed",lm,Z2 North Spur,G2 Firm Sabkha,341,58.09,19808.69,N,
PA-00519-03,PA-00519,3,2025-02-18,S-04 Drainage Corridor,B.23.020,"Mesh reinforcement, A393, laid and lapped",m2,Z2 North Spur,,190,152.68,29009.20,N,JS-00015
