invoice_no,contract_ref,contractor,well_name,rig,field,well_class,period_start,period_end,invoice_date,net_amount,vat_amount,invoice_total,adjustment
MDS-01030,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-026,NG-Rig 14,Qarn Alam North,Standard,06-Jan-2026,08-Jan-2026,19-Jan-2026,124968.26,18745.24,143713.50,0.00
MDS-01031,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-043,NG-Rig 17,Burqan Deep,Standard,06-Jan-2026,10-Jan-2026,24-Jan-2026,211685.75,31752.86,243438.61,0.00
MDS-01032,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-220,NG-Rig 47,Harran,Standard,07-Jan-2026,12-Jan-2026,18-Jan-2026,138889.31,20833.40,159722.71,0.00
MDS-01033,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-202,NG-Rig 44,Harran,HPHT,07-Jan-2026,08-Jan-2026,11-Jan-2026,60204.04,9030.61,69234.65,0.00
MDS-01034,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-009,NG-Rig 11,Burqan Deep,Standard,07-Jan-2026,09-Jan-2026,22-Jan-2026,73388.72,11008.31,84397.03,0.00
MDS-01035,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-079,NG-Rig 23,Harran,Standard,07-Jan-2026,12-Jan-2026,10-Feb-2026,161073.85,24161.08,185234.93,0.00
MDS-01036,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-115,NG-Rig 30,Qarn Alam North,Standard,08-Jan-2026,12-Jan-2026,31-Jan-2026,187894.85,28184.23,216079.08,0.00
MDS-01037,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-150,NG-Rig 35,Burqan Deep,HPHT,08-Jan-2026,10-Jan-2026,25-Jan-2026,65539.25,9830.89,75370.14,0.00
MDS-01038,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-061,NG-Rig 21,Wadi Sahm,Standard,08-Jan-2026,13-Jan-2026,06-Feb-2026,138624.76,20793.71,159418.47,0.00
MDS-01039,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-132,NG-Rig 32,Harran,HPHT,08-Jan-2026,11-Jan-2026,14-Jan-2026,93270.15,13990.52,107260.67,0.00
MDS-01040,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-185,NG-Rig 41,Wadi Sahm,Extended Reach,08-Jan-2026,10-Jan-2026,30-Jan-2026,65945.65,9891.85,75837.50,0.00
MDS-01041,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-026,NG-Rig 14,Qarn Alam North,Standard,09-Jan-2026,14-Jan-2026,07-Feb-2026,214965.82,32244.87,247210.69,0.00
MDS-01042,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-097,NG-Rig 26,Harran,Extended Reach,10-Jan-2026,12-Jan-2026,21-Jan-2026,94797.36,14219.60,109016.96,0.00
MDS-01043,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-168,NG-Rig 38,Qarn Alam North,Extended Reach,10-Jan-2026,12-Jan-2026,23-Jan-2026,55598.66,8339.80,63938.46,0.00
MDS-01044,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-009,NG-Rig 11,Burqan Deep,Standard,10-Jan-2026,11-Jan-2026,29-Jan-2026,85314.02,12797.10,98111.12,0.00
MDS-01045,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-150,NG-Rig 35,Burqan Deep,HPHT,11-Jan-2026,13-Jan-2026,23-Jan-2026,67651.29,10147.69,77798.98,0.00
MDS-01046,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-043,NG-Rig 17,Burqan Deep,Standard,11-Jan-2026,16-Jan-2026,08-Feb-2026,250525.97,37578.90,288104.87,0.00
MDS-01047,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-185,NG-Rig 41,Wadi Sahm,Extended Reach,11-Jan-2026,13-Jan-2026,05-Feb-2026,118759.72,17813.96,136573.68,0.00
MDS-01048,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-115,NG-Rig 30,Qarn Alam North,Standard,13-Jan-2026,16-Jan-2026,15-Feb-2026,127244.85,19086.73,146331.58,0.00
MDS-01049,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-220,NG-Rig 47,Harran,Standard,13-Jan-2026,17-Jan-2026,25-Jan-2026,274592.55,41188.88,315781.43,0.00
MDS-01050,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-097,NG-Rig 26,Harran,Extended Reach,13-Jan-2026,17-Jan-2026,20-Jan-2026,685783.34,102867.50,788650.84,0.00
MDS-01051,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-010,NG-Rig 11,Wadi Sahm,Standard,13-Jan-2026,18-Jan-2026,15-Feb-2026,136178.61,20426.79,156605.40,0.00
MDS-01052,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-168,NG-Rig 38,Qarn Alam North,Extended Reach,13-Jan-2026,18-Jan-2026,21-Jan-2026,121785.05,18267.76,140052.81,0.00
MDS-01053,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-079,NG-Rig 23,Harran,Standard,13-Jan-2026,18-Jan-2026,17-Feb-2026,140399.02,21059.85,161458.87,0.00
MDS-01054,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-203,NG-Rig 44,Burqan Deep,Extended Reach,14-Jan-2026,18-Jan-2026,07-Feb-2026,114224.65,17133.70,131358.35,0.00
MDS-01055,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-150,NG-Rig 35,Burqan Deep,HPHT,14-Jan-2026,19-Jan-2026,30-Jan-2026,172796.19,25919.43,198715.62,0.00
MDS-01056,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-061,NG-Rig 21,Wadi Sahm,Standard,14-Jan-2026,16-Jan-2026,12-Feb-2026,44062.20,6609.33,50671.53,0.00
MDS-01057,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-185,NG-Rig 41,Wadi Sahm,Extended Reach,14-Jan-2026,16-Jan-2026,22-Jan-2026,67948.91,10192.34,78141.25,0.00
MDS-01058,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-026,NG-Rig 14,Qarn Alam North,Standard,15-Jan-2026,16-Jan-2026,29-Jan-2026,75444.90,11316.74,86761.64,0.00
MDS-01059,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-133,NG-Rig 32,Wadi Sahm,Standard,16-Jan-2026,18-Jan-2026,01-Feb-2026,80150.21,12022.53,92172.74,0.00
MDS-01060,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-115,NG-Rig 30,Qarn Alam North,Standard,17-Jan-2026,20-Jan-2026,29-Jan-2026,150797.59,22619.64,173417.23,0.00
MDS-01061,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-043,NG-Rig 17,Burqan Deep,Standard,17-Jan-2026,22-Jan-2026,19-Feb-2026,210141.18,31521.18,241662.36,0.00
MDS-01062,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-061,NG-Rig 21,Wadi Sahm,Standard,17-Jan-2026,21-Jan-2026,06-Feb-2026,94646.05,14196.91,108842.96,0.00
MDS-01063,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-185,NG-Rig 41,Wadi Sahm,Extended Reach,17-Jan-2026,19-Jan-2026,05-Feb-2026,93496.73,14024.51,107521.24,0.00
MDS-01064,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-220,NG-Rig 47,Harran,Standard,18-Jan-2026,21-Jan-2026,25-Jan-2026,168137.40,25220.61,193358.01,0.00
MDS-01065,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-097,NG-Rig 26,Harran,Extended Reach,18-Jan-2026,23-Jan-2026,09-Feb-2026,184765.55,27714.83,212480.38,0.00
MDS-01066,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-203,NG-Rig 44,Burqan Deep,Extended Reach,19-Jan-2026,22-Jan-2026,17-Feb-2026,63163.19,9474.48,72637.67,0.00
MDS-01067,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-010,NG-Rig 11,Wadi Sahm,Standard,19-Jan-2026,21-Jan-2026,09-Feb-2026,48954.50,7343.18,56297.68,0.00
MDS-01068,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-133,NG-Rig 32,Wadi Sahm,Standard,19-Jan-2026,24-Jan-2026,11-Feb-2026,88124.40,13218.66,101343.06,0.00
MDS-01069,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-168,NG-Rig 38,Qarn Alam North,Extended Reach,19-Jan-2026,23-Jan-2026,08-Feb-2026,112100.11,16815.02,128915.13,0.00
MDS-01070,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-079,NG-Rig 23,Harran,Standard,19-Jan-2026,22-Jan-2026,04-Feb-2026,80718.36,12107.75,92826.11,0.00
MDS-01071,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-027,NG-Rig 14,Qarn Alam North,HPHT,20-Jan-2026,22-Jan-2026,04-Feb-2026,85479.05,12821.86,98300.91,0.00
MDS-01072,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-150,NG-Rig 35,Burqan Deep,HPHT,20-Jan-2026,25-Jan-2026,18-Feb-2026,177409.68,26611.45,204021.13,0.00
MDS-01073,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-185,NG-Rig 41,Wadi Sahm,Extended Reach,20-Jan-2026,23-Jan-2026,19-Feb-2026,87932.01,13189.80,101121.81,0.00
MDS-01074,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-115,NG-Rig 30,Qarn Alam North,Standard,21-Jan-2026,25-Jan-2026,13-Feb-2026,204916.89,30737.53,235654.42,0.00
MDS-01075,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-220,NG-Rig 47,Harran,Standard,22-Jan-2026,25-Jan-2026,07-Feb-2026,150471.04,22570.66,173041.70,0.00
MDS-01076,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-010,NG-Rig 11,Wadi Sahm,Standard,22-Jan-2026,25-Jan-2026,05-Feb-2026,82206.10,12330.92,94537.02,0.00
MDS-01077,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-061,NG-Rig 21,Wadi Sahm,Standard,22-Jan-2026,24-Jan-2026,12-Feb-2026,57484.30,8622.64,66106.94,0.00
MDS-01078,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-027,NG-Rig 14,Qarn Alam North,HPHT,23-Jan-2026,28-Jan-2026,14-Feb-2026,98497.46,14774.62,113272.08,0.00
MDS-01079,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-203,NG-Rig 44,Burqan Deep,Extended Reach,23-Jan-2026,28-Jan-2026,15-Feb-2026,173835.99,26075.40,199911.39,0.00
MDS-01080,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-043,NG-Rig 17,Burqan Deep,Standard,23-Jan-2026,25-Jan-2026,07-Feb-2026,108656.53,16298.48,124955.01,0.00
MDS-01081,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-079,NG-Rig 23,Harran,Standard,23-Jan-2026,25-Jan-2026,16-Feb-2026,46299.72,6944.96,53244.68,0.00
MDS-01082,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-097,NG-Rig 26,Harran,Extended Reach,24-Jan-2026,27-Jan-2026,05-Feb-2026,68333.89,10250.08,78583.97,0.00
MDS-01083,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-168,NG-Rig 38,Qarn Alam North,Extended Reach,24-Jan-2026,29-Jan-2026,07-Feb-2026,168603.53,25290.53,193894.06,0.00
MDS-01084,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-185,NG-Rig 41,Wadi Sahm,Extended Reach,24-Jan-2026,27-Jan-2026,30-Jan-2026,62855.73,9428.36,72284.09,0.00
MDS-01085,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-133,NG-Rig 32,Wadi Sahm,Standard,25-Jan-2026,28-Jan-2026,10-Feb-2026,88734.90,13310.24,102045.14,0.00
MDS-01086,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-061,NG-Rig 21,Wadi Sahm,Standard,25-Jan-2026,27-Jan-2026,06-Feb-2026,57601.09,8640.16,66241.25,0.00
MDS-01087,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-115,NG-Rig 30,Qarn Alam North,Standard,26-Jan-2026,27-Jan-2026,20-Feb-2026,80386.97,12058.05,92445.02,0.00
MDS-01088,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-220,NG-Rig 47,Harran,Standard,26-Jan-2026,28-Jan-2026,13-Feb-2026,137356.19,20603.43,157959.62,0.00
MDS-01089,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-010,NG-Rig 11,Wadi Sahm,Standard,26-Jan-2026,29-Jan-2026,07-Feb-2026,1309585.42,196437.81,1506023.23,0.00
MDS-01090,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-150,NG-Rig 35,Burqan Deep,HPHT,26-Jan-2026,29-Jan-2026,16-Feb-2026,112905.98,16935.90,129841.88,0.00
MDS-01091,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-079,NG-Rig 23,Harran,Standard,26-Jan-2026,30-Jan-2026,22-Feb-2026,105376.47,15806.47,121182.94,0.00
MDS-01092,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-097,NG-Rig 26,Harran,Extended Reach,28-Jan-2026,01-Feb-2026,08-Feb-2026,74186.63,11127.99,85314.62,0.00
MDS-01093,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-061,NG-Rig 21,Wadi Sahm,Standard,28-Jan-2026,31-Jan-2026,22-Feb-2026,87397.25,13109.59,100506.84,0.00
MDS-01094,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-185,NG-Rig 41,Wadi Sahm,Extended Reach,28-Jan-2026,02-Feb-2026,03-Mar-2026,123901.89,18585.28,142487.17,0.00
MDS-01095,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-027,NG-Rig 14,Qarn Alam North,HPHT,29-Jan-2026,03-Feb-2026,27-Feb-2026,136076.60,20411.49,156488.09,0.00
MDS-01096,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-220,NG-Rig 47,Harran,Standard,29-Jan-2026,01-Feb-2026,22-Feb-2026,163528.72,24529.31,188058.03,0.00
MDS-01097,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-203,NG-Rig 44,Burqan Deep,Extended Reach,29-Jan-2026,31-Jan-2026,23-Feb-2026,92567.02,13885.05,106452.07,0.00
MDS-01098,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-133,NG-Rig 32,Wadi Sahm,Standard,29-Jan-2026,01-Feb-2026,24-Feb-2026,113354.41,17003.16,130357.57,0.00
MDS-01099,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-010,NG-Rig 11,Wadi Sahm,Standard,30-Jan-2026,02-Feb-2026,01-Mar-2026,130905.01,19635.75,150540.76,0.00
MDS-01100,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-150,NG-Rig 35,Burqan Deep,HPHT,30-Jan-2026,03-Feb-2026,01-Mar-2026,83643.67,12546.55,96190.22,0.00
MDS-01101,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-168,NG-Rig 38,Qarn Alam North,Extended Reach,30-Jan-2026,31-Jan-2026,11-Feb-2026,81655.48,12248.32,93903.80,0.00
MDS-01102,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-116,NG-Rig 30,Burqan Deep,Extended Reach,31-Jan-2026,05-Feb-2026,05-Mar-2026,134852.11,20227.82,155079.93,0.00
MDS-01103,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-044,NG-Rig 17,Harran,Standard,31-Jan-2026,04-Feb-2026,14-Feb-2026,112677.88,16901.68,129579.56,0.00
MDS-01104,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-203,NG-Rig 44,Burqan Deep,Extended Reach,01-Feb-2026,06-Feb-2026,16-Feb-2026,191037.06,28655.56,219692.62,0.00
MDS-01105,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-061,NG-Rig 21,Wadi Sahm,Standard,01-Feb-2026,04-Feb-2026,17-Feb-2026,114342.25,17151.34,131493.59,0.00
MDS-01106,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-220,NG-Rig 47,Harran,Standard,02-Feb-2026,05-Feb-2026,14-Feb-2026,149557.37,22433.61,171990.98,0.00
MDS-01107,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-097,NG-Rig 26,Harran,Extended Reach,02-Feb-2026,02-Feb-2026,08-Feb-2026,44873.08,6730.96,51604.04,0.00
MDS-01108,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-133,NG-Rig 32,Wadi Sahm,Standard,02-Feb-2026,05-Feb-2026,25-Feb-2026,111665.34,16749.80,128415.14,0.00
MDS-01109,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-010,NG-Rig 11,Wadi Sahm,Standard,03-Feb-2026,07-Feb-2026,02-Mar-2026,175680.96,26352.14,202033.10,0.00
MDS-01110,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-169,NG-Rig 38,Burqan Deep,HPHT,03-Feb-2026,08-Feb-2026,12-Feb-2026,126843.09,19026.46,145869.55,0.00
MDS-01111,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-027,NG-Rig 14,Qarn Alam North,HPHT,04-Feb-2026,06-Feb-2026,28-Feb-2026,58169.65,8725.45,66895.10,0.00
MDS-01112,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-150,NG-Rig 35,Burqan Deep,HPHT,04-Feb-2026,08-Feb-2026,15-Feb-2026,109672.36,16450.85,126123.21,0.00
MDS-01113,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-186,NG-Rig 41,Wadi Sahm,Extended Reach,04-Feb-2026,07-Feb-2026,25-Feb-2026,97662.45,14649.37,112311.82,0.00
MDS-01114,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-080,NG-Rig 23,Burqan Deep,Standard,05-Feb-2026,09-Feb-2026,18-Feb-2026,114005.20,17100.78,131105.98,0.00
MDS-01115,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-044,NG-Rig 17,Harran,Standard,05-Feb-2026,07-Feb-2026,26-Feb-2026,44127.57,6619.14,50746.71,0.00
MDS-01116,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-061,NG-Rig 21,Wadi Sahm,Standard,05-Feb-2026,10-Feb-2026,17-Feb-2026,137789.83,20668.47,158458.30,0.00
MDS-01117,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-220,NG-Rig 47,Harran,Standard,06-Feb-2026,11-Feb-2026,07-Mar-2026,214938.68,32240.80,247179.48,0.00
MDS-01118,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-098,NG-Rig 26,Wadi Sahm,Standard,06-Feb-2026,10-Feb-2026,28-Feb-2026,111857.45,16778.62,128636.07,0.00
MDS-01119,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-116,NG-Rig 30,Burqan Deep,Extended Reach,06-Feb-2026,10-Feb-2026,12-Mar-2026,101425.66,15213.85,116639.51,0.00
MDS-01120,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-133,NG-Rig 32,Wadi Sahm,Standard,06-Feb-2026,08-Feb-2026,17-Feb-2026,82462.05,12369.31,94831.36,0.00
MDS-01121,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-027,NG-Rig 14,Qarn Alam North,HPHT,07-Feb-2026,10-Feb-2026,15-Feb-2026,95052.29,14257.84,109310.13,0.00
MDS-01122,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-203,NG-Rig 44,Burqan Deep,Extended Reach,07-Feb-2026,09-Feb-2026,24-Feb-2026,139276.91,20891.54,160168.45,0.00
MDS-01123,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-010,NG-Rig 11,Wadi Sahm,Standard,08-Feb-2026,13-Feb-2026,13-Mar-2026,163598.09,24539.71,188137.80,0.00
MDS-01124,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-044,NG-Rig 17,Harran,Standard,08-Feb-2026,12-Feb-2026,10-Mar-2026,83116.00,12467.40,95583.40,0.00
MDS-01125,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-186,NG-Rig 41,Wadi Sahm,Extended Reach,08-Feb-2026,12-Feb-2026,24-Feb-2026,80913.30,12137.00,93050.30,0.00
MDS-01126,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-133,NG-Rig 32,Wadi Sahm,Standard,09-Feb-2026,11-Feb-2026,16-Feb-2026,97553.07,14632.96,112186.03,0.00
MDS-01127,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-169,NG-Rig 38,Burqan Deep,HPHT,09-Feb-2026,11-Feb-2026,13-Mar-2026,54223.95,8133.59,62357.54,0.00
MDS-01128,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-080,NG-Rig 23,Burqan Deep,Standard,10-Feb-2026,14-Feb-2026,25-Feb-2026,73605.64,11040.85,84646.49,0.00
MDS-01129,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-203,NG-Rig 44,Burqan Deep,Extended Reach,10-Feb-2026,10-Feb-2026,27-Feb-2026,52112.61,7816.89,59929.50,0.00
MDS-01130,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-027,NG-Rig 14,Qarn Alam North,HPHT,11-Feb-2026,13-Feb-2026,14-Mar-2026,89391.98,13408.80,102800.78,0.00
MDS-01131,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-098,NG-Rig 26,Wadi Sahm,Standard,11-Feb-2026,15-Feb-2026,06-Mar-2026,85617.15,12842.57,98459.72,0.00
MDS-01132,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-116,NG-Rig 30,Burqan Deep,Extended Reach,11-Feb-2026,13-Feb-2026,05-Mar-2026,102368.17,15355.23,117723.40,0.00
MDS-01133,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-061,NG-Rig 21,Wadi Sahm,Standard,11-Feb-2026,16-Feb-2026,09-Mar-2026,96897.70,14534.66,111432.36,0.00
MDS-01134,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-151,NG-Rig 35,Harran,Standard,11-Feb-2026,15-Feb-2026,11-Mar-2026,109377.45,16406.62,125784.07,0.00
MDS-01135,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-220,NG-Rig 47,Harran,Standard,12-Feb-2026,12-Feb-2026,23-Feb-2026,49937.04,7490.56,57427.60,0.00
MDS-01136,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-133,NG-Rig 32,Wadi Sahm,Standard,12-Feb-2026,16-Feb-2026,01-Mar-2026,104273.14,15640.97,119914.11,0.00
MDS-01137,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-169,NG-Rig 38,Burqan Deep,HPHT,12-Feb-2026,14-Feb-2026,14-Mar-2026,62750.10,9412.52,72162.62,0.00
MDS-01138,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-204,NG-Rig 44,Burqan Deep,Extended Reach,12-Feb-2026,15-Feb-2026,16-Mar-2026,97927.00,14689.05,112616.05,0.00
MDS-01139,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-044,NG-Rig 17,Harran,Standard,13-Feb-2026,18-Feb-2026,22-Feb-2026,1274238.03,191135.70,1465373.73,0.00
MDS-01140,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-186,NG-Rig 41,Wadi Sahm,Extended Reach,13-Feb-2026,18-Feb-2026,10-Mar-2026,99164.66,14874.70,114039.36,0.00
MDS-01141,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-027,NG-Rig 14,Qarn Alam North,HPHT,14-Feb-2026,16-Feb-2026,21-Feb-2026,121545.13,18231.77,139776.90,0.00
MDS-01142,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-010,NG-Rig 11,Wadi Sahm,Standard,14-Feb-2026,18-Feb-2026,20-Mar-2026,76375.42,11456.31,87831.73,0.00
MDS-01143,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-116,NG-Rig 30,Burqan Deep,Extended Reach,14-Feb-2026,17-Feb-2026,19-Mar-2026,142124.88,21318.73,163443.61,0.00
MDS-01144,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-080,NG-Rig 23,Burqan Deep,Standard,15-Feb-2026,18-Feb-2026,06-Mar-2026,77584.98,11637.75,89222.73,0.00
MDS-01145,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-169,NG-Rig 38,Burqan Deep,HPHT,15-Feb-2026,20-Feb-2026,10-Mar-2026,137034.33,20555.15,157589.48,0.00
MDS-01146,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-098,NG-Rig 26,Wadi Sahm,Standard,16-Feb-2026,19-Feb-2026,04-Mar-2026,107064.62,16059.69,123124.31,0.00
MDS-01147,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-221,NG-Rig 47,Harran,Standard,16-Feb-2026,19-Feb-2026,23-Feb-2026,85350.25,12802.54,98152.79,0.00
MDS-01148,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-151,NG-Rig 35,Harran,Standard,16-Feb-2026,20-Feb-2026,20-Mar-2026,85826.70,12874.00,98700.70,0.00
MDS-01149,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-204,NG-Rig 44,Burqan Deep,Extended Reach,16-Feb-2026,21-Feb-2026,15-Mar-2026,96117.50,14417.62,110535.12,0.00
MDS-01150,DDS-2025-118,Meridian Downhole Services Ltd,NGP-BD-027,NG-Rig 14,Qarn Alam North,HPHT,17-Feb-2026,20-Feb-2026,23-Feb-2026,125893.68,18884.05,144777.73,0.00
MDS-01151,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-133,NG-Rig 32,Wadi Sahm,Standard,17-Feb-2026,21-Feb-2026,11-Mar-2026,106215.39,15932.31,122147.70,0.00
MDS-01152,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-061,NG-Rig 21,Wadi Sahm,Standard,17-Feb-2026,19-Feb-2026,26-Feb-2026,74021.12,11103.17,85124.29,0.00
MDS-01153,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-116,NG-Rig 30,Burqan Deep,Extended Reach,18-Feb-2026,20-Feb-2026,11-Mar-2026,109959.15,16493.87,126453.02,0.00
MDS-01154,DDS-2025-118,Meridian Downhole Services Ltd,NGP-HA-080,NG-Rig 23,Burqan Deep,Standard,19-Feb-2026,21-Feb-2026,22-Mar-2026,81940.08,12291.01,94231.09,0.00
MDS-01155,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-010,NG-Rig 11,Wadi Sahm,Standard,19-Feb-2026,19-Feb-2026,14-Mar-2026,43961.37,6594.21,50555.58,0.00
MDS-01156,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-044,NG-Rig 17,Harran,Standard,19-Feb-2026,24-Feb-2026,25-Mar-2026,151998.43,22799.76,174798.19,0.00
MDS-01157,DDS-2025-118,Meridian Downhole Services Ltd,NGP-WS-186,NG-Rig 41,Wadi Sahm,Extended Reach,19-Feb-2026,24-Feb-2026,09-Mar-2026,135818.65,20372.80,156191.45,0.00
MDS-01158,DDS-2025-118,Meridian Downhole Services Ltd,NGP-QA-098,NG-Rig 26,Wadi Sahm,Standard,20-Feb-2026,25-Feb-2026,22-Mar-2026,159632.54,23944.88,183577.42,0.00
